Date Consolidated,Day of Transaction,Time of Transaction,CustomerID,StoreID,EmployeeID,ProductID,Amount,QTY,Cost
3/31/2017,18,14:45:19,7QVA,5,22,A1815,599.2831,10,460.987
4/30/2017,8,13:22:11,7CNJ,4,30,A1815,526.1542,10,404.734
2/28/2017,7,9:40:29,7CNJ,5,24,A1815,233.142,9,179.34
2/28/2017,27,10:55:24,7QVA,5,21,A1815,521.7342,8,401.334
4/30/2017,13,12:16:54,5TCC,19,104,A1815,232.385,8,170
3/31/2017,1,16:11:37,5TCC,18,113,A1815,208.086,7,133
4/30/2018,26,11:30:24,7JQB,13,90,A1815,189.695,5,141.073
2/28/2017,7,12:14:08,2HLM,1,8,A1815,161.666,4,47.3
2/28/2017,22,9:30:18,7NAD,15,83,A1815,126.656,3,48.087
3/31/2017,3,12:57:55,2HLM,1,6,A1815,115.568,3,38.73
4/30/2017,23,13:26:49,2HLM,2,15,A1815,125.628,3,36.43
4/30/2018,11,13:21:07,9AAM,22,138,A1815,111.625,3,67.484
2/28/2017,14,17:43:13,7FED,6,29,A1815,53.328,2,38
2/28/2017,18,13:27:40,7NCC,20,137,A1815,39.68,2,30.76
3/31/2017,31,15:35:07,7FED,4,37,A1815,63.329,1,30.873
4/30/2018,10,12:54:12,7CNJ,6,26,A1815,53.482,1,41.14
4/30/2017,29,13:36:12,8CKW,14,82,A1815,56.42,1,43.4
4/30/2018,7,11:48:31,8CKW,15,94,A1815,54.08,1,41.6
3/31/2017,1,9:07:37,8CKW,15,98,A1815,18.62,1,18
3/31/2017,16,15:44:45,5LAU,14,82,A1815,8.269,1,6.138
4/30/2018,8,14:12:18,2HLM,3,13,A1815,15.156,1,3
4/30/2017,28,11:38:50,7FED,4,26,A1815,6.666,1,3.143
4/30/2017,1,15:16:16,7NKD,4,23,A1815,6.16,1,3.8
2/28/2017,13,17:18:31,7NAK,8,52,A1815,3.05,1,1.974
4/30/2017,10,13:20:06,2ETT,3,15,A1815,6.149,1,4.73
4/30/2018,15,12:03:09,5CUF,13,95,A1815,5.629,1,4.33
4/30/2017,30,16:27:04,7FRH,5,33,A1814,580.7607,38,446.739
4/30/2017,7,12:01:07,7NHD,6,26,A1814,212.0924,28,163.148
4/30/2017,24,12:01:07,7NUL,5,33,A1814,2.686,1,0
4/30/2017,25,11:55:31,7FRH,4,25,A1813,564.3742,41,434.134
4/30/2017,17,11:54:17,7NHD,6,27,A1813,151.515,25,144.13
4/30/2017,3,12:33:13,7NMQ,25,147,A1813,10.215,2,6.933
4/30/2017,4,12:33:13,9ABW,5,29,A1813,3.66,1,0
4/30/2017,4,14:51:03,7MRP,6,35,A1813,2.66,1,0
4/30/2017,2,10:11:02,5CUF,13,81,A1812,558.812,97,478.499
4/30/2017,7,14:25:40,5CNG,15,83,A1812,502.688,90,443.041
4/30/2017,13,15:20:55,8CWK,3,18,A1812,529.228,73,384.313
4/30/2017,17,17:18:38,7FRH,4,22,A1812,518.166,66,346.847
4/30/2017,21,9:54:00,8BEV,2,12,A1812,699.986,65,340.473
4/30/2017,15,13:49:53,7FGN,23,143,A1812,669.26,60,497.346
4/30/2017,5,14:01:30,2EMH,1,16,A1812,658.561,60,314.431
4/30/2017,7,17:38:37,7NQC,8,57,A1812,618.311,54,464.113
4/30/2017,10,16:49:19,2HKJ,3,15,A1812,567.8309,49,436.793
4/30/2017,30,16:31:02,7QVA,6,25,A1812,577.6862,46,444.374
4/30/2017,6,11:51:31,5LAQ,14,97,A1812,573.7433,45,441.341
4/30/2017,29,17:22:18,7NHD,5,22,A1812,539.1581,43,414.737
4/30/2017,16,9:15:01,9ABU,6,37,A1812,533.0832,43,410.064
4/30/2017,4,13:03:13,2HKH,3,15,A1812,281.101,37,191.418
4/30/2017,1,12:57:41,2HMJ,2,17,A1812,256.283,35,183.144
4/30/2017,21,12:02:27,7GJE,25,142,A1812,269.55,35,169.903
4/30/2017,1,12:02:27,7NMQ,25,142,A1812,268.516,34,169.496
4/30/2017,9,15:25:33,7MRR,6,22,A1812,252.906,33,160.134
4/30/2017,18,15:22:44,2HMM,3,20,A1812,229.66,30,136.377
4/30/2017,3,13:54:43,7NJF,25,142,A1812,225.335,30,143.934
4/30/2017,27,12:53:25,2ENA,1,15,A1812,222.526,29,131.67
4/30/2017,12,16:10:21,7NUL,6,31,A1812,220.115,28,138.438
4/30/2017,7,17:14:09,9ABW,6,31,A1812,216.565,28,133.413
4/30/2017,14,14:32:19,7KAF,9,56,A1812,200.015,27,134.048
4/30/2017,30,16:30:14,5NED,13,82,A1812,203.522,27,149.933
4/30/2017,4,16:07:47,7MTL,4,38,A1812,201.99,26,149.347
4/30/2017,18,14:19:59,7MRP,6,35,A1812,196.306,25,144.717
4/30/2017,15,14:38:04,7GAB,9,54,A1812,183.338,24,114.493
4/30/2017,13,10:47:30,7FUF,4,29,A1812,156.335,20,98.34
4/30/2017,19,12:53:27,7NKK,22,131,A1812,155.386,20,97.941
4/30/2017,17,17:38:37,7MNE,7,54,A1812,133.508,17,84.139
4/30/2017,6,16:21:18,7NRT,6,28,A1812,122.313,17,83.44
4/30/2017,21,9:47:30,7MWD,6,26,A1812,105.53,15,71.433
4/30/2017,19,16:29:10,7FEM,4,28,A1812,101.555,13,63.04
4/30/2017,20,14:20:43,2ETT,3,10,A1812,23.062,3,13.69
4/30/2017,29,15:49:55,2HKJ,1,20,A1811,663.135,60,313.369
4/30/2017,10,9:28:30,8BEV,1,16,A1811,602.639,52,474.034
4/30/2017,24,14:41:07,5LAQ,15,94,A1811,600.02,51,431.134
4/30/2017,24,15:06:01,5CUF,13,94,A1811,582.8862,51,448.374
4/30/2017,26,13:00:18,2EMH,3,14,A1811,570.0344,46,438.488
4/30/2017,25,12:11:06,7GJE,23,142,A1811,545.7478,45,419.806
4/30/2017,18,14:16:53,2HKH,3,16,A1811,542.5784,42,417.368
4/30/2017,20,14:10:46,7QVA,5,24,A1811,524.9972,42,403.844
4/30/2017,14,8:47:23,8CWK,2,10,A1811,539.3193,41,414.861
4/30/2017,27,9:39:53,7FGN,24,147,A1811,310.325,40,194.449
4/30/2017,25,10:00:27,5CNG,15,84,A1811,308.599,40,193.703
4/30/2017,13,10:48:39,7NMQ,25,147,A1811,305.663,39,191.464
4/30/2017,6,11:50:38,7FRH,4,30,A1811,286.686,37,179.909
4/30/2017,13,12:28:50,2ENA,3,10,A1811,256.952,36,187.434
4/30/2017,30,16:02:50,7MRR,4,27,A1811,266.065,34,166.417
4/30/2017,5,12:45:36,2HMM,2,12,A1811,259.585,34,176.774
4/30/2017,28,11:55:36,9ABU,5,33,A1811,262.06,34,164.434
4/30/2017,7,17:09:42,2HMJ,1,16,A1811,235.661,33,171.344
4/30/2017,26,17:09:42,7NHD,5,31,A1811,269.106,32,136.493
4/30/2017,9,9:45:26,7NQC,7,52,A1811,261.666,31,131.643
4/30/2017,23,11:03:47,7MRP,6,31,A1811,231.156,30,147.887
4/30/2017,12,11:35:33,7NUL,4,30,A1811,215.385,28,134.864
4/30/2017,1,18:42:09,7NJF,23,145,A1811,201.226,26,148.474
4/30/2017,17,12:42:50,9ABW,6,40,A1811,193.608,25,141.096
4/30/2017,9,12:42:50,7NKK,21,137,A1811,159.583,23,114.6
4/30/2017,25,17:01:27,7MTL,6,40,A1811,152.06,22,109.468
4/30/2017,29,13:09:25,5NED,15,85,A1811,151.295,20,96.469
4/30/2017,18,9:27:34,7NRT,5,25,A1811,129.55,17,81.444
4/30/2017,15,19:35:02,7KAF,7,45,A1811,128.966,17,80.983
4/30/2017,7,12:59:12,7GAB,8,60,A1811,122.583,16,76.919
4/30/2017,24,11:03:33,7FEM,6,34,A1811,95.568,13,39.993
4/30/2017,16,10:19:51,7FUF,5,22,A1811,95.828,12,39.781
4/30/2017,7,12:54:05,7MWD,4,28,A1811,93.593,12,39.04
4/30/2017,15,10:24:26,7MNE,8,47,A1811,82.5,11,31.744
4/30/2017,14,15:02:20,7GJE,23,141,A1810,658.016,41,483.34
4/30/2017,3,12:48:26,5LAQ,15,90,A1810,582.8537,36,448.349
4/30/2017,3,15:29:40,5CNG,13,94,A1810,564.0752,34,433.904
4/30/2017,11,16:21:03,8BEV,2,12,A1810,365.963,33,313.408
4/30/2017,22,16:24:18,8CWK,2,19,A1810,338.509,32,304.914
4/30/2017,6,15:36:25,7NQC,7,60,A1810,539.4272,31,414.944
4/30/2017,14,12:56:02,2ENA,1,16,A1810,625.7082,30,481.314
4/30/2017,1,12:11:19,7NMQ,23,149,A1810,521.7381,29,401.337
4/30/2017,6,12:01:56,7MRP,6,25,A1810,521.1258,29,400.866
4/30/2017,20,13:18:30,7NJF,24,146,A1810,256.883,28,193.746
4/30/2017,26,11:53:54,7MRR,6,35,A1810,301.683,28,191.634
4/30/2017,21,14:47:50,7FRH,4,22,A1810,301.815,27,190.434
4/30/2017,15,15:11:23,7NUL,5,40,A1810,253.386,25,170.444
4/30/2017,10,9:28:22,7GAB,8,45,A1810,250.512,24,166.694
4/30/2017,5,15:40:08,5NED,14,89,A1810,269.625,24,163.416
4/30/2017,1,10:57:03,7NKK,20,129,A1810,256.522,23,138.846
4/30/2017,25,11:47:06,7KAF,8,43,A1810,265.185,22,134.047
4/30/2017,6,14:21:53,7FGN,24,147,A1810,215.653,19,133.644
4/30/2017,22,11:19:23,2EMH,1,3,A1810,195.033,19,177.474
4/30/2017,18,9:21:17,5CUF,15,97,A1810,199.12,18,144.433
4/30/2017,24,12:10:33,9ABU,6,23,A1810,198.512,18,143.846
4/30/2017,6,9:42:33,9ABW,4,22,A1810,195.525,18,143.696
4/30/2017,2,13:18:19,7QVA,5,31,A1810,196.065,18,144.434
4/30/2017,7,16:35:12,7NRT,4,32,A1810,189.688,17,117.89
4/30/2017,2,10:17:51,2HKJ,3,20,A1810,152.929,17,133.76
4/30/2017,16,13:25:46,7MNE,8,51,A1810,186.515,17,113.103
4/30/2017,13,13:27:32,7FUF,4,38,A1810,186.256,17,114.633
4/30/2017,1,15:09:13,2HKH,3,12,A1810,163.692,16,147.464
4/30/2017,5,9:17:39,7MWD,4,37,A1810,169.681,15,106.064
4/30/2017,28,13:02:36,7FEM,5,40,A1810,158.552,14,97.031
4/30/2017,14,14:45:28,7NHD,6,30,A1810,153.168,14,93.439
4/30/2017,12,10:58:08,2HMM,3,12,A1810,133.101,13,119.888
4/30/2017,4,13:52:43,2HMJ,3,4,A1810,83.862,8,73.34
4/30/2017,23,9:51:13,2ETT,2,15,A1810,11.528,1,10.384
4/30/2017,27,9:16:14,7MTL,4,26,A1809,6.51,1,1.77
4/30/2017,21,10:10:49,7NQC,7,43,A1809,6.51,1,0.6
2/28/2017,19,13:29:27,5CKK,13,85,A1808,0.5629,1,0.433
3/31/2017,20,16:29:05,5LCK,14,90,A1807,82.059,11,36.87
2/28/2017,19,14:01:48,5LCK,15,96,A1807,59.066,11,34.804
4/30/2017,7,10:19:21,5LCK,14,97,A1807,65.56,6,38.088
4/30/2018,2,10:19:21,5HFU,14,95,A1807,23.861,5,19.343
4/30/2018,6,14:38:48,8CTJ,13,82,A1806,26.002,16,13.6
4/30/2018,8,18:07:48,5CRK,13,93,A1806,65.665,13,46.08
3/31/2017,11,12:02:21,5LAK,13,98,A1805,55.506,9,43.68
2/28/2017,14,12:29:32,5LAK,15,85,A1805,68.188,8,37.94
4/30/2018,3,15:04:57,5LAK,15,96,A1805,52.616,7,40.394
4/30/2017,29,15:40:05,5LAK,15,91,A1805,60.85,7,34.16
2/28/2017,9,12:19:04,5BBC,14,99,A1805,25.135,4,18.404
4/30/2018,3,13:10:23,5CTU,18,116,A1804,599.061,57,144.43
2/28/2017,25,12:19:04,7NAE,13,88,A1804,51.108,16,11.943
2/28/2017,27,16:05:21,8BKQ,5,38,A1804,2.865,1,1.014
3/31/2017,25,15:48:44,8BKQ,5,21,A1804,1.315,1,0.468
4/30/2017,4,15:47:08,8BKQ,4,34,A1804,1.862,1,0.468
2/28/2017,5,11:34:09,7NAD,13,88,A1804,25.368,1,10.494
2/28/2017,21,11:34:09,7QVA,5,30,A1804,0.526,1,0.484
4/30/2017,25,9:22:52,2EUJ,12,72,A1804,6.298,1,4.818
4/30/2018,26,15:47:14,2EUJ,12,62,A1804,6.912,1,3.361
3/31/2017,15,15:47:14,7MDL,6,40,A1803,52.681,6,34.13
4/30/2017,2,15:13:21,7MDL,4,33,A1803,53.872,4,41.44
2/28/2017,20,13:51:08,7MDL,5,34,A1803,28.322,3,13.84
4/30/2017,24,9:13:56,7FRQ,22,131,A1803,25.836,3,13
4/30/2018,9,10:27:26,8BFP,17,104,A1803,26.99,3,19.3
3/31/2017,12,10:27:26,7FUE,25,141,A1803,12.986,2,8.933
3/31/2017,28,10:14:10,7FRQ,21,136,A1803,13.365,2,8.3
4/30/2017,2,9:33:37,7FUE,24,150,A1803,9.828,1,6.384
2/28/2017,18,12:41:15,7FRQ,22,137,A1803,5.85,1,3
2/28/2017,18,11:38:15,7FUE,23,145,A1803,6.298,1,3.49
4/30/2018,28,10:56:45,8BFP,19,116,A1802,65.656,8,47.383
4/30/2018,9,10:51:25,7FTG,20,137,A1801,5.668,1,3.348
3/31/2017,1,11:59:08,7MDL,6,28,A1800,56.981,7,33.66
4/30/2017,26,12:05:28,7FUE,23,149,A1800,58.3934,5,44.918
2/28/2017,19,10:41:22,7MDL,6,33,A1800,63.316,5,46.34
4/30/2017,1,15:04:06,7MDL,5,27,A1800,57.824,5,44.48
3/31/2017,31,15:04:06,7FUE,23,141,A1800,25.666,4,17.397
2/28/2017,25,14:57:18,7FUE,24,146,A1800,21.69,4,16.434
4/30/2018,14,10:24:00,8BFP,18,110,A1800,18.326,2,14.87
4/30/2017,9,11:36:27,7FRQ,20,135,A1800,15.286,2,10
4/30/2018,3,11:36:27,8DBW,21,136,A1800,16.995,2,11.88
3/31/2017,1,13:49:38,7FRQ,21,135,A1800,9.62,1,6
2/28/2017,22,13:54:22,7FRQ,21,131,A1800,5.065,1,4.3
2/28/2017,10,11:23:35,8DBW,22,125,A1800,1.666,1,1.34
4/30/2017,21,14:10:09,8DBW,20,124,A1800,0.833,1,0.66
4/30/2018,17,11:11:26,8BFP,16,109,A1799,1.666,1,1.3
4/30/2018,21,16:47:19,8BFL,12,77,A1798,5.85,1,3.914
4/30/2018,23,12:22:41,8CPA,12,67,A1798,0.585,1,0.487
2/28/2017,27,12:22:41,2HKV,3,12,A1797,160.802,25,84.343
3/31/2017,17,13:54:45,2HKV,2,10,A1797,121.619,21,71.683
4/30/2017,29,12:55:21,2HKV,3,5,A1797,109.166,18,64.844
4/30/2018,17,12:05:32,2HKV,3,8,A1797,65.553,8,30.804
2/28/2017,27,13:45:23,2HKV,3,17,A1796,135.652,24,79.33
3/31/2017,30,9:32:45,2HKV,2,7,A1796,100.323,18,39.391
4/30/2017,11,11:56:18,2HKV,1,19,A1796,103.555,17,39.663
4/30/2018,1,14:08:52,2HKV,2,11,A1796,66.355,8,30.006
4/30/2017,25,16:47:14,7FNP,8,57,A1794,110.633,186,47.114
2/28/2017,23,16:47:14,7FNP,7,52,A1794,50.61,161,43.446
3/31/2017,6,10:58:06,7FNP,8,56,A1794,59.52,136,19.863
4/30/2018,22,12:53:04,7FNP,9,45,A1794,89.515,102,14.944
4/30/2018,3,15:54:28,2EFD,10,63,A1794,66.925,3,49.333
3/31/2017,12,10:23:47,7NDB,7,60,A1793,161.601,36,87.678
2/28/2017,9,14:47:59,7NDB,7,43,A1793,130.362,33,80.843
4/30/2017,23,10:18:13,7NDB,8,57,A1793,128.568,33,79.844
4/30/2017,12,14:17:50,8BDF,22,130,A1793,180.953,9,143.666
2/28/2017,12,13:14:46,8BDF,21,123,A1793,168.225,8,103.663
3/31/2017,5,9:45:47,8BDF,20,140,A1793,136.55,7,93.848
3/31/2017,2,14:45:00,7HAA,24,147,A1793,659.316,4,484
4/30/2017,22,11:04:43,7HAA,23,149,A1793,562.9,2,433
2/28/2017,22,10:31:01,7HAA,25,147,A1793,577.2,2,444
4/30/2017,2,16:32:39,8BHF,10,64,A1793,0.501,1,0.348
4/30/2018,19,13:51:51,7NUD,24,149,A1792,125.512,14,66.344
4/30/2018,25,15:14:04,5TEB,17,113,A1792,8.288,2,3.348
4/30/2018,17,12:23:50,9ACB,4,22,A1792,5.4574,1,4.198
4/30/2018,7,11:49:04,8BLG,25,148,A1791,58.0047,3,44.619
4/30/2018,29,11:49:04,5HMU,10,74,A1790,168.821,21,144.16
4/30/2017,23,11:37:25,8CTJ,14,96,A1790,93.005,12,69.143
4/30/2018,1,9:12:14,8CTJ,15,81,A1790,80.1411,9,61.647
2/28/2017,4,16:11:52,8CTJ,13,90,A1790,60.528,8,43.908
3/31/2017,28,17:21:28,8CTJ,13,85,A1790,60.51,6,49.694
4/30/2018,20,11:04:20,7NUD,25,149,A1789,1853.061,178,1449.489
4/30/2018,12,11:53:07,7NUM,6,23,A1789,252.503,26,184.34
4/30/2018,2,11:53:07,7NRT,5,23,A1789,258.26,23,139.641
4/30/2018,25,13:40:26,5BTP,13,96,A1789,156.6,16,97.89
4/30/2018,8,12:50:36,5CTU,19,105,A1789,166.151,13,88.941
4/30/2018,16,10:44:52,5LCQ,14,95,A1789,116.015,11,61.141
4/30/2018,30,11:25:00,5HFU,13,100,A1789,103.255,11,36.79
4/30/2018,10,10:36:07,7NHD,5,39,A1789,89.966,8,36.664
4/30/2018,21,10:36:07,5LBH,13,98,A1789,56.112,7,46.497
4/30/2018,12,14:54:09,5CPV,15,81,A1789,68.126,7,41.319
4/30/2018,5,11:25:59,5LCM,13,84,A1789,53.551,5,33.839
4/30/2018,4,16:21:17,9AAM,22,123,A1789,50.305,5,33.168
4/30/2018,27,13:54:37,7NUV,13,87,A1789,32.966,3,17.98
4/30/2018,5,11:16:01,7NNR,22,136,A1789,12.282,3,9.66
4/30/2018,19,13:40:17,7FKW,17,102,A1789,19.992,2,16.384
4/30/2018,15,9:59:37,5CFW,14,84,A1789,25.266,2,11.834
4/30/2018,22,8:51:36,5LBE,13,98,A1789,22.198,2,13.348
4/30/2018,9,14:30:18,2EEW,3,2,A1789,22.52,2,9.764
4/30/2018,10,12:55:14,7FWU,21,138,A1789,20.863,2,13.149
4/30/2018,12,10:03:56,2HMH,10,73,A1789,15.06,2,7.393
4/30/2018,4,12:12:17,7NJJ,21,140,A1789,10.09,1,4.93
4/30/2018,20,12:46:34,9ABW,5,28,A1789,8.052,1,3.348
4/30/2018,29,12:46:34,7MWD,6,33,A1789,5.526,1,4.434
4/30/2018,16,12:46:34,7NWG,25,146,A1789,5.065,1,3.003
4/30/2018,27,13:57:50,7FRH,4,35,A1789,2.289,1,1.479
4/30/2018,1,12:26:47,8BMT,3,16,A1789,2.018,1,1.434
4/30/2018,17,11:11:18,5CRM,15,92,A1789,0.961,1,0.64
4/30/2018,4,11:13:34,7QWL,15,90,A1789,1.095,1,0.493
4/30/2018,9,14:04:18,7NVN,14,98,A1789,0.961,1,0.493
4/30/2018,20,12:43:16,8BAD,8,56,A1789,0,1,0
4/30/2017,10,10:51:38,2ENA,1,18,A1788,166.538,10,93.337
4/30/2017,15,10:51:38,2ETT,3,2,A1788,126.65,8,70.743
4/30/2017,19,15:56:37,2ELV,3,13,A1788,108.03,7,61.493
4/30/2017,23,15:19:23,8CWK,2,1,A1788,98.058,6,33.637
4/30/2017,14,12:30:48,5LAQ,15,88,A1788,56.591,5,44.433
4/30/2017,19,12:30:48,7NMQ,23,147,A1788,66.818,4,36.777
4/30/2017,17,12:23:15,7MTL,6,29,A1788,58.255,4,34.891
4/30/2017,24,14:02:57,2HMJ,2,12,A1788,58.15,4,33.003
4/30/2017,19,18:11:19,2HKJ,1,20,A1788,56.509,3,34.064
4/30/2017,1,16:53:33,8BEV,2,9,A1788,68.199,3,47.347
4/30/2017,6,10:44:46,7NHD,5,21,A1788,61.55,3,43.373
4/30/2017,3,9:13:11,9ABU,4,29,A1788,58.0242,2,44.634
4/30/2017,1,13:27:08,5CNG,14,95,A1788,36.902,2,19.803
4/30/2017,23,10:50:05,7FUF,6,35,A1788,28.256,2,16.031
4/30/2017,8,12:46:26,7FRH,5,35,A1788,26.93,2,14.143
4/30/2017,18,12:35:03,7GJE,23,143,A1788,23.268,1,13.404
4/30/2017,21,11:56:11,7KAF,8,57,A1788,23.268,1,14.304
4/30/2017,5,16:12:13,7MNE,7,55,A1788,19.965,1,11.316
4/30/2017,26,16:12:31,7FGN,23,141,A1788,19.965,1,11.316
4/30/2017,16,14:59:26,7GAB,9,43,A1788,18.282,1,10.373
4/30/2017,17,13:22:39,2HKH,2,4,A1788,11.636,1,6.601
4/30/2017,21,10:39:03,7FEM,6,34,A1788,6.668,1,3.744
4/30/2017,12,10:10:30,2ENA,3,10,A1787,529.022,18,406.94
4/30/2017,3,13:13:34,2ETT,1,4,A1787,210.638,10,114.443
4/30/2017,8,13:13:34,7NHD,6,27,A1787,202.166,10,107.343
4/30/2017,1,11:26:45,7NMQ,25,143,A1787,196.526,9,103.86
4/30/2017,9,16:50:44,2ELV,1,20,A1787,165.195,8,87.99
4/30/2017,27,17:52:50,5LAQ,13,100,A1787,166.816,7,77.993
4/30/2017,20,12:43:01,9ABU,6,40,A1787,163.552,7,76.64
4/30/2017,28,11:41:17,8CWK,3,18,A1787,128.955,7,76.383
4/30/2017,8,14:10:56,7MRR,6,37,A1787,136.29,7,74.73
4/30/2017,12,16:52:20,7MTL,5,38,A1787,119.35,6,69.31
4/30/2017,9,9:30:50,2HKJ,1,7,A1787,115.501,6,68
4/30/2017,20,9:30:50,2HMM,1,11,A1787,126.511,6,66.843
4/30/2017,11,14:11:13,7NJF,25,150,A1787,103.51,6,61.743
4/30/2017,20,14:12:31,7FGN,23,143,A1787,105.963,5,37.303
4/30/2017,27,16:46:04,9ABW,4,32,A1787,106.355,5,34.793
4/30/2017,22,10:37:34,7QVA,5,38,A1787,101.112,5,33.44
4/30/2017,3,16:27:26,2EMH,1,3,A1787,99.516,5,33.083
4/30/2017,22,13:38:50,2HMJ,3,15,A1787,96.565,5,30.473
4/30/2017,23,14:45:43,5CUF,15,88,A1787,96.532,4,49.64
4/30/2017,12,11:39:16,7GAB,8,57,A1787,93.612,4,49.44
4/30/2017,11,15:33:14,8BEV,1,7,A1787,88.552,4,46.81
4/30/2017,21,15:33:14,5CNG,14,99,A1787,88.693,4,46.933
4/30/2017,15,11:21:50,7NUL,6,38,A1787,86.655,4,43
4/30/2017,16,18:12:02,7KAF,9,56,A1787,50.389,3,34.813
4/30/2017,10,16:53:16,7FRH,6,31,A1787,66.961,3,34.703
4/30/2017,20,17:30:10,7FEM,5,34,A1787,53.933,3,48.373
4/30/2017,27,17:25:52,7NRT,4,22,A1787,65.969,2,44.433
4/30/2017,18,11:54:47,7FUF,5,22,A1787,32.835,2,17.343
4/30/2017,3,17:50:43,7MNE,9,47,A1787,31.516,2,16.843
4/30/2017,17,16:23:20,7GJE,25,147,A1787,26.611,1,14.413
4/30/2017,8,10:01:44,2ENA,2,16,A1786,238.501,12,133.14
4/30/2017,11,12:53:15,7MTL,4,37,A1786,5.5,1,3.104
4/30/2017,26,14:50:48,2ENA,3,15,A1785,563.3472,18,433.344
4/30/2017,28,16:37:28,2ELV,1,8,A1785,296.235,14,180.788
4/30/2017,29,12:23:05,7NMQ,24,147,A1785,195.655,9,140.3
4/30/2017,27,11:48:51,2ETT,1,7,A1785,185.955,9,114.44
4/30/2017,20,11:35:04,9ABU,6,32,A1785,150.856,7,94.304
4/30/2017,30,11:44:49,7QVA,4,40,A1785,138.589,7,83.084
4/30/2017,24,9:05:57,7NJF,23,142,A1785,116.802,6,78.86
4/30/2017,20,9:05:57,7NHD,4,23,A1785,126.586,6,76.444
4/30/2017,27,11:47:21,5LAQ,15,90,A1785,118.626,6,74.394
4/30/2017,4,18:43:51,5CUF,15,85,A1785,116.699,6,71.684
4/30/2017,2,11:44:53,2EMH,3,5,A1785,116.698,6,71.684
4/30/2017,14,10:31:38,7MTL,5,29,A1785,103.95,5,70.94
4/30/2017,30,12:51:46,5CNG,15,99,A1785,85.901,4,34.944
4/30/2017,27,14:11:26,7GAB,8,46,A1785,85.353,4,34.06
4/30/2017,23,15:22:21,2HKJ,3,7,A1785,65.355,4,44.884
4/30/2017,10,15:46:50,7MRR,4,27,A1785,59.666,3,37.376
4/30/2017,16,13:07:53,7FRH,4,22,A1785,58.396,3,36.314
4/30/2017,10,10:35:51,9ABW,4,40,A1785,56.199,3,33.048
4/30/2017,28,10:40:25,2HMJ,1,6,A1785,56.199,3,34.164
4/30/2017,2,15:50:02,7NUL,4,24,A1785,50.953,2,31.134
4/30/2017,15,12:42:51,7FEM,6,31,A1785,68.235,2,48.948
4/30/2017,12,12:15:18,7KAF,9,55,A1785,65.506,2,43.116
4/30/2017,14,13:00:09,7NRT,6,23,A1785,62.526,2,46.444
4/30/2017,11,13:43:24,7MNE,7,42,A1785,26.059,1,14.74
